10-MAY-06
"Adverse Events Category","AE/Supra-ordinate Term","MedDRA/ CTEP Term","MedDRA Code(v90)/ CTEP Code"
"ALLERGY/IMMUNOLOGY","Allergic reaction/hypersensitivity (including drug fever)","Hypersensitivity","10020751"
"ALLERGY/IMMUNOLOGY","Allergic rhinitis (including sneezing, nasal stuffiness, postnasal drip)","Allergic rhinitis","10001723"
"ALLERGY/IMMUNOLOGY","Allergy-Other (Specify,_____)","Immune system disorder","10021425"
"ALLERGY/IMMUNOLOGY","Autoimmune reaction","Autoimmune disorder","10061664"
"ALLERGY/IMMUNOLOGY","Serum sickness","Serum sickness","10040400"
"ALLERGY/IMMUNOLOGY","Vasculitis","Vasculitis","10047115"
"AUDITORY/HEARING","Auditory/Hearing-Other (Specify,_____)","Ear disorder","10014004"
"AUDITORY/HEARING","External Auditory Canal","External ear inflammation","10065837"
"AUDITORY/HEARING","Inner ear/hearing","Hearing loss","10019246"
"AUDITORY/HEARING","Middle ear/hearing","Middle ear inflammation","10065838"
"Appendix IV RTOG/EORTC Late Radiation Morbidity Scoring Scheme (Use for adverse events occurring greater than 90 days after radiation therapy.)","Bladder- Late RT Morbidity Scoring","Not Available","90004114"
"Appendix IV RTOG/EORTC Late Radiation Morbidity Scoring Scheme (Use for adverse events occurring greater than 90 days after radiation therapy.)","Bone - Late RT Morbidity Scoring","Not Available","90004112"
"Appendix IV RTOG/EORTC Late Radiation Morbidity Scoring Scheme (Use for adverse events occurring greater than 90 days after radiation therapy.)","Brain- Late RT Morbidity Scoring","Not Available","90004130"
"Appendix IV RTOG/EORTC Late Radiation Morbidity Scoring Scheme (Use for adverse events occurring greater than 90 days after radiation therapy.)","Esophagus- Late RT Morbidity Scoring","Not Available","90004128"
"Appendix IV RTOG/EORTC Late Radiation Morbidity Scoring Scheme (Use for adverse events occurring greater than 90 days after radiation therapy.)","Eye- Late RT Morbidity Scoring","Not Available","90004104"
"Appendix IV RTOG/EORTC Late Radiation Morbidity Scoring Scheme (Use for adverse events occurring greater than 90 days after radiation therapy.)","Heart- Late RT Morbidity Scoring","Not Available","90004116"
"Appendix IV RTOG/EORTC Late Radiation Morbidity Scoring Scheme (Use for adverse events occurring greater than 90 days after radiation therapy.)","Joint- Late RT Morbidity Scoring","Not Available","90004126"
"Appendix IV RTOG/EORTC Late Radiation Morbidity Scoring Scheme (Use for adverse events occurring greater than 90 days after radiation therapy.)","Kidney-Late RT Morbidity Scoring","Not Available","90004118"
"Appendix IV RTOG/EORTC Late Radiation Morbidity Scoring Scheme (Use for adverse events occurring greater than 90 days after radiation therapy.)","Larynx-Late RT Morbidity Scoring","Not Available","90004124"
"Appendix IV RTOG/EORTC Late Radiation Morbidity Scoring Scheme (Use for adverse events occurring greater than 90 days after radiation therapy.)","Liver-Late RT Morbidity Scoring","Not Available","90004096"
"Appendix IV RTOG/EORTC Late Radiation Morbidity Scoring Scheme (Use for adverse events occurring greater than 90 days after radiation therapy.)","Lung-Late RT Morbidity Scoring","Not Available","90004122"
"Appendix IV RTOG/EORTC Late Radiation Morbidity Scoring Scheme (Use for adverse events occurring greater than 90 days after radiation therapy.)","Mucous membrane-Late RT Morbidity Scoring","Not Available","90004098"
"Appendix IV RTOG/EORTC Late Radiation Morbidity Scoring Scheme (Use for adverse events occurring greater than 90 days after radiation therapy.)","Radiation-Other(Specify,_____)","Not Available","90004106"
"Appendix IV RTOG/EORTC Late Radiation Morbidity Scoring Scheme (Use for adverse events occurring greater than 90 days after radiation therapy.)","Salivary glands-Late RT Morbidity Scoring","Not Available","90004120"
"Appendix IV RTOG/EORTC Late Radiation Morbidity Scoring Scheme (Use for adverse events occurring greater than 90 days after radiation therapy.)","Skin-Late RT Morbidity Scoring","Not Available","90004108"
"Appendix IV RTOG/EORTC Late Radiation Morbidity Scoring Scheme (Use for adverse events occurring greater than 90 days after radiation therapy.)","Small/Large intestine-Late RT Morbidity Scoring","Not Available","90004110"
"Appendix IV RTOG/EORTC Late Radiation Morbidity Scoring Scheme (Use for adverse events occurring greater than 90 days after radiation therapy.)","Spinal cord-Late RT Morbidity Scoring","Not Available","90004100"
"Appendix IV RTOG/EORTC Late Radiation Morbidity Scoring Scheme (Use for adverse events occurring greater than 90 days after radiation therapy.)","Subcutaneous tissue-Late RT Morbidity Scoring","Not Available","90004102"
"Appendix VI BMT Complex/Multicomponent Events","Failure to engraft","Not Available","90004134"
"Appendix VI BMT Complex/Multicomponent Events","Graft versus host disease","Graft versus host disease","10018651"
"Appendix VI BMT Complex/Multicomponent Events","Stem cell infusion complications","Not Available","90004132"
"Appendix VI BMT Complex/Multicomponent Events","Veno-Occlusive Disease (VOD)","Venoocclusive disease NOS","10052612"
"BLOOD/BONE MARROW","Blood/Bone Marrow-Other (Specify,_____)","Blood disorder","10061590"
"BLOOD/BONE MARROW","Bone marrow cellularity","Bone marrow hypocellular","10048580"
"BLOOD/BONE MARROW","CD4 count","CD4 lymphocytes decreased","10007839"
"BLOOD/BONE MARROW","Haptoglobin","Haptoglobin decreased","10019150"
"BLOOD/BONE MARROW","Hemoglobin","Hemoglobin decreased","10019483"
"BLOOD/BONE MARROW","Hemoglobin for leukemia studies or bone marrow infiltrative/ myelophthisic processes, if specified in the protocol.","Not Available","90004010"
"BLOOD/BONE MARROW","Hemolysis (e.g., immune hemolytic anemia, drug related hemolysis, other)","Hemolysis","10019491"
"BLOOD/BONE MARROW","Leukocytes (total WBC)","Leukopenia","10024384"
"BLOOD/BONE MARROW","Leukocytes (total WBC) for BMT studies, if specified in the protocol.","Not Available","90004014"
"BLOOD/BONE MARROW","Leukocytes (total WBC) for pediatric BMT studies (using age, race and sex normal values), if specified in the protocol.","Not Available","90004022"
"BLOOD/BONE MARROW","Lymphopenia","Lymphopenia","10025327"
"BLOOD/BONE MARROW","Lymphopenia for pediatric BMT studies (using age, race and sex normal values), if specified in the protocol.","Not Available","90004024"
"BLOOD/BONE MARROW","Neutrophils/granulocytes (ANC/AGC)","Neutrophil count decreased","10029366"
"BLOOD/BONE MARROW","Neutrophils/granulocytes (ANC/AGC) for BMT studies, if specified in the protocol.","Not Available","90004006"
"BLOOD/BONE MARROW","Neutrophils/granulocytes (ANC/AGC) for leukemia studies or bone marrow infiltrative/myelophthisic process, if specified in the protocol.","Not Available","90004008"
"BLOOD/BONE MARROW","Platelets","Platelet count decreased","10035528"
"BLOOD/BONE MARROW","Platelets for BMT studies, if specified in the protocol.","Not Available","90004026"
"BLOOD/BONE MARROW","Platelets for leukemia studies or bone marrow infiltrative/myelophthisic process, if specified in the protocol.","Not Available","90004020"
"BLOOD/BONE MARROW","Transfusion: Platelets","Platelet transfusion","10035543"
"BLOOD/BONE MARROW","Transfusion: Platelets for BMT studies, if specified in the protocol.","Not Available","90004004"
"BLOOD/BONE MARROW","Transfusion: pRBCs","Packed red blood cell transfusion","10033359"
"BLOOD/BONE MARROW","Transfusion: pRBCs for BMT studies, if specified in the protocol.","Not Available","90004016"
"BLOOD/BONE MARROW","Transfusion: pRBCs for pediatric BMT studies, if specified in the protocol.","Not Available","90004012"
"CARDIOVASCULAR (ARRHYTHMIA)","Cardiovascular/Arrhythmia-Other (Specify,_____)","Arrhythmia","10003119"
"CARDIOVASCULAR (ARRHYTHMIA)","Conduction abnormality/Atrioventricular heart block","Conduction disorder","10010276"
"CARDIOVASCULAR (ARRHYTHMIA)","Nodal/junctional arrhythmia/dysrhythmia","Nodal arrhythmia","10029458"
"CARDIOVASCULAR (ARRHYTHMIA)","Palpitations","Palpitations","10033557"
