30-NOV-07                                                                                                                         
Institution Code,Institution Name,City,State,Country                                                                              
"00000","Unknown",".","","USA"                                                                                                    
"02001","Catedra De Oncologia Univ-Salvador","Buenos Aires","","Argentina"                                                        
"02002","Hospital Militar Central","Buenos Aires","","Argentina"                                                                  
"02003","Hospitales Privado Guemes","Buenos Aires","","Argentina"                                                                 
"02004","Hosp. Rawson","Buenos Aires","","Argentina"                                                                              
"02005","Hosp. Teodoro Alvarez","Buenos Aires","","Argentina"                                                                     
"02006","Hosp. Ramos Mejia, Sala 18","Buenos Aires","","Argentina"                                                                
"02007","Deutsches Hosp.","Buenos Aires","","Argentina"                                                                           
"02008","Universidad Nacional Del Sur","Bahia Blanca","","Argentina"                                                              
"02009","Hosp. Frances","Buenos Aires","","Argentina"                                                                             
"02010","Hosp. Policial","Buenos Aires","","Argentina"                                                                            
"02011","Hosp. Israelita","Buenos Aires","","Argentina"                                                                           
"02012","Hosp. Municipal F. Santojanni","Buenos Aires","","Argentina"                                                             
"02013","Instituto De Oncologia","Buenos Aires","","Argentina"                                                                    
"02014","Hosp. Interzonal Gen. San Martin","Buenos Aires","","Argentina"                                                          
"02015","Hospital Italiano of Buenos Aires","Buenos Aires","","Argentina"                                                         
"02016","San Martin De Tours 2980","Buenos Aires","","Argentina"                                                                  
"02017","Hematologia","Rosario","","Argentina"                                                                                    
"02018","Academia Nacional De Medicina","Buenos Aires","","Argentina"                                                             
"02019","Lab/Reproduction and Lactation","Mendoza","","Argentina"                                                                 
"02020","Alexander Fleming Cancer Center","Buenos Aires","","Argentina"                                                           
"02021","Hospital Universitario Austral","Derqui, Buenos Aires","","Argentina"                                                    
"02022","CERIM","Buenos Aires","","Argentina"                                                                                     
"03001","WP Holman Clinic - Launceston General Hospital","Launceston","TAS","Australia"                                           
"03002","Concord Repatriation General Hospital","Concord","NSW","Australia"                                                       
"03003","Peter MacCallum Cancer Centre","East Melbourne","VIC","Australia"                                                        
"03004","Flinders Medical Center","Bedford Park, SA","5042","Australia"                                                           
"03005","Royal Prince Alfred Hospital","Camperdown","NSW","Australia"                                                             
"03006","University of Melbourne","Heidleberg, Victoria","","Australia"                                                           
"03007","Mount Hospital","Perth, Wa, 6000","","Australia"                                                                         
"03008","Sacred Heart Hospice","Darlinghurst","NSW","Australia"                                                                   
"03009","Woden Valley Hospital","Woden, A.C.T. 2606","","Australia"                                                               
"03010","Sir Charles Gairdner Hospital","Nedlands","Western Australia","Australia"                                                
"03011","Princess Alexandra Hospital","Brisbane","QLD","Australia"                                                                
"03012","Woden Vallery Hospital","Garran","","Australia"                                                                          
"03013","Royal Children's Hospital","Parkville","VIC","Australia"                                                                 
"03014","Royal Perth Hospital","Perth, Wa, 6001","","Australia"                                                                   
"03015","Alfred Hospital Melbourne","Melbourne","","Australia"                                                                    
"03016","Saint. Vincent Hospital, Sydney","Sydney","","Australia"                                                                 
"03017","Royal North Shore Hospital","St Leonards","NSW","Australia"                                                              
"03018","Royal Alexandra Hospital/Children","Camperdown, Nsw","","Australia"                                                      
"03019","University of Tasmania","Hobart, Tasmania","","Australia"                                                                
"03020","Adelaide Childrens Hospital","North Adelaide","","Australia"                                                             
"03021","University of Sydney","Sydney","","Australia"                                                                            
"03022","Prince of Wales Hospital","Randwick, Nsw","","Australia"                                                                 
"03023","Royal Newcastle Hospital","New Castle","","Australia"                                                                    
"03024","University of New South Wales","Kogarah","","Australia"                                                                  
"03025","Sydney Hospital","Sydney","NSW","Australia"                                                                              
"03026","Royal Adelaide Hospital","Adelaide, S.A., 5000","","Australia"                                                           
"03027","Royal North Shore Hospital of Sydney","Sydney  2065","","Australia"                                                      
"03028","Royal Childrens Hospital","Parkville","Victoria","Australia"                                                             
"03029","Sydney West Area Health Service-Westmead Hospital","Westmead","NSW","Australia"                                          
"03030","Prince Henrys Hospital","Clayton","VIC","Australia"                                                                      
"03031","Saint Vincent's Hospital","Melbourne, Victoria","","Australia"                                                           
"03032","Queen Elizabeth II Medical Center","","WA","Australia"                                                                   
"03033","Royal Hobart Hospital","St. Hobart","TAS","Australia"                                                                    
"03035","Royal Melbourne Hospital","Parkville","","Australia"                                                                     
"03036","Saint George Hospital","Kogarah, Nsw","","Australia"                                                                     
"03037","The Alfred Hospital","Prahran, Victoria","","Australia"                                                                  
"03038","The Prince Charles Hospital","Brisbane","","Australia"                                                                   
"03039","Department of Health","Canberra, A.C.T.","","Australia"                                                                  
"03040","Saint Vincent's Hospital","Darlinghurst, N.S.W.","","Australia"                                                          
"03041","Ludwig Institute for Cancer Research","Parkville","VIC","Australia"                                                      
"03044","Austin Health","Heidelberg","VIC","Australia"                                                                            
"03045","Royal Melbourne Hospital","Parkville","VIC","Australia"                                                                  
"03046","Institute of Medical and Vet Science","Adelaide","","Australia"                                                          
"03048","Calvary Mater Newcastle Hospital","Waratah","NSW","Australia"                                                            
"03049","Austin and Repatriation Medical Center","Heidelberg West 3081","","Australia"                                            
"03050","The Geelong Hospital","Geelong, Victoria","","Australia"                                                                 
"03051","Royal Brisbane Hospital","Brisbane","","Australia"                                                                       
"03052","Mercy Hospital for Women","Heidelberg","VIC","Australia"                                                                 
"03053","Queen Elizabeth Hospital","Woodville, Sa., 5011","","Australia"                                                          
"03055","Princess Margaret Hospital for Children","West Leederville","WA","Australia"                                             
"03056","Wesley Clinic for Haematology Oncology","Auchenflower","QLD","Australia"                                                 
"03057","The Canberra Hospital","Woden Act","","Australia"                                                                        
"03058","Liverpool Cancer Therapy Center-Liverpool Hospital","Liverpool, Nsw","","Australia"                                      
"03059","Repatriation General Hosp.","Daw Park","S AUSTRALIA","Australia"                                                         
"03060","Latrobe Regional Hospital","Traralgon, Victoria","","Australia"                                                          
"03061","Princess Alexandra Hospital","Woolloongabba","QLD","Australia"                                                           
"03062","Western Hospital","Footscray Victoria","","Australia"                                                                    
"03064","Mater Private Hospital - Brisbane","South Brisbane","QLD","Australia"                                                    
"03065","Institute for Child Health Research","West Perta","","Australia"                                                         
"03066","Bendigo Hospital","Bendigo Vic","","Australia"                                                                           
"03067","Royal Brisbane and Women's Hospital","Herston","QLD","Australia"                                                         
"03068","Townsville General Hospital","Townsville, Qld","","Australia"                                                            
"03069","Cancer Council of Western Australia","Perth","","Australia"                                                              
"03070","Gosford Hospital","Gosford, Nsw","","Australia"                                                                          
"03071","Sydney Breast Cancer Institute","Sydney","","Australia"                                                                  
"03072","Orange Base Hospital","Orange, Nsw","","Australia"                                                                       
"03073","Fremantle Hospital","Fremantle Wa","","Australia"                                                                        
"03074","Monash Medical Center, Clayton Campus","Clayton, Vic","","Australia"                                                     
